ENTIDAD,MUNICIPIO,RAZON_SOCIAL,PRODUCTO,NOM,GIRO_COMERCIAL,CUMPLIMIENTO
AGUASCALIENTES,AGUASCALIENTES,ABARROTES - JOSE ALVARO NUNEZ GUZMAN,ATUN,NOM-051-SCFI/SSA1-2010,ABARROTES,CUMPLE
AGUASCALIENTES,AGUASCALIENTES,ABARROTES - JOSE ALVARO NUï¿½EZ GUZMAN,FRIJOLES,NOM-051-SCFI/SSA1-2010,ABARROTES,CUMPLE
AGUASCALIENTES,AGUASCALIENTES,ABARROTES - JOSE ALVARO NUï¿½EZ GUZMAN,VELADORAS  Y CERAS,NOM-051-SCFI/SSA1-2010,ABARROTES,CUMPLE
AGUASCALIENTES,AGUASCALIENTES,ANTIGUA HACIENDA LA NORIA- HECTOR FLORES AGUILAR,BRANDY,NOM-142-SSA1-1995,RESTAURANT-BAR,CUMPLE
AGUASCALIENTES,AGUASCALIENTES,ASFEIXAS  S.A. DE C.V.,BRANDY,NOM-142-SSA1-1995,MOTEL,CUMPLE
AGUASCALIENTES,AGUASCALIENTES,AUTOZONE DE MEXICO S. DE R.L. DE C.V.,ACCESORIOS PARA AUTOS,NOM-050-SCFI-2004,ACCESORIOS PARA AUTOMOVIL,CUMPLE
AGUASCALIENTES,AGUASCALIENTES,BODEGA AURRERA EXPRESS -  NUEVA WAL MART DE MEXICO S. DE R.L. DE C.V.,ACEITE COMESTIBLE,NOM-051-SCFI/SSA1-2010,TIENDAS DE CONVENIENCIA,CUMPLE
AGUASCALIENTES,AGUASCALIENTES,BODEGA AURRERA EXPRESS -  NUEVA WAL MART DE MEXICO S. DE R.L. DE C.V.,HUEVO,NOM-051-SCFI/SSA1-2010,TIENDAS DE CONVENIENCIA,CUMPLE
AGUASCALIENTES,AGUASCALIENTES,BURANA,TEQUILA,NOM-142-SSA1-1995,BAR,CUMPLE
AGUASCALIENTES,AGUASCALIENTES,C&A DE MEXICO S. DE R.L.,ROPA CABALLERO,NOM-004-SCFI-2006,TIENDA DEPARTAMENTAL,CUMPLE
AGUASCALIENTES,AGUASCALIENTES,CADENA COMERCIAL OXXO  S. A. DE C. V.,BRANDY,NOM-142-SSA1-1995,ABARROTES,CUMPLE
AGUASCALIENTES,AGUASCALIENTES,CADENA COMERCIAL OXXO  S. A. DE C. V.,TEQUILA,NOM-006-SCFI-2012,ABARROTES,CUMPLE
AGUASCALIENTES,AGUASCALIENTES,CADENA COMERCIAL OXXO  S. A. DE C.V.,BEBIDAS,NOM-051-SCFI/SSA1-2010,TIENDA DE AUTOSERVICIO,CUMPLE
AGUASCALIENTES,AGUASCALIENTES,CADENA COMERCIAL OXXO  S. A. DE C.V.,SOPA DE PASTA,NOM-051-SCFI/SSA1-2010,TIENDA DE AUTOSERVICIO,CUMPLE
AGUASCALIENTES,AGUASCALIENTES,CADENA COMERCIAL OXXO SA DE CV,BRANDY,NOM-142-SSA1-1995,TIENDA DE AUTOSERVICIO,CUMPLE
AGUASCALIENTES,AGUASCALIENTES,CADENA COMERCIAL OXXO SA DE CV,TEQUILA,NOM-006-SCFI-2012,TIENDA DE AUTOSERVICIO,CUMPLE
AGUASCALIENTES,AGUASCALIENTES,CADENA COMERCIAL OXXO SA DE CV,WHISKY,NOM-142-SSA1-1995,TIENDA DE AUTOSERVICIO,CUMPLE
AGUASCALIENTES,AGUASCALIENTES,CADENA COMERCIAL OXXO SA DE CV   (COLON),BRANDY,NOM-142-SSA1-1995,ABARROTES,CUMPLE
